Draw Date,Winning Numbers,Mega Ball,Multiplier
12/29/2015,20 25 55 62 74,07,03
12/25/2015,15 25 29 44 51,04,04
12/22/2015,11 21 40 50 70,15,03
12/18/2015,06 23 24 28 62,07,05
12/15/2015,18 25 47 51 61,05,05
12/11/2015,14 20 43 54 69,05,04
12/08/2015,07 17 37 49 73,15,03
12/04/2015,26 42 47 61 73,06,05
12/01/2015,05 07 25 50 59,12,02
11/27/2015,16 20 39 56 59,12,03
11/24/2015,02 19 30 38 70,08,04
11/20/2015,09 12 29 37 67,15,02
11/17/2015,12 14 18 24 61,10,03
11/13/2015,17 18 31 35 59,09,05
11/10/2015,08 17 20 45 71,04,04
11/06/2015,10 31 35 50 72,08,03
11/03/2015,16 29 44 69 74,12,05
10/30/2015,17 41 51 53 56,15,05
10/27/2015,09 26 27 29 74,04,03
10/23/2015,25 32 37 45 70,01,05
10/20/2015,06 25 35 38 52,04,04
10/16/2015,02 38 48 61 68,04,03
10/13/2015,07 09 24 38 52,01,05
10/09/2015,08 09 21 63 75,14,04
10/06/2015,17 58 63 64 66,13,03
10/02/2015,04 14 29 31 47,09,02
09/29/2015,08 21 30 61 62,09,03
09/25/2015,03 08 38 51 64,04,05
09/22/2015,28 30 38 45 51,08,05
09/18/2015,17 34 35 51 65,07,03
09/15/2015,07 20 35 49 56,09,04
09/11/2015,05 11 31 50 67,14,02
09/08/2015,19 20 36 41 46,07,03
09/04/2015,17 21 39 52 57,05,05
09/01/2015,02 05 35 40 54,13,05
08/28/2015,13 35 40 60 68,09,04
08/25/2015,05 44 54 59 63,01,05
08/21/2015,13 15 21 41 72,01,05
08/18/2015,02 07 33 39 53,09,03
08/14/2015,12 15 20 52 71,03,04
08/11/2015,03 08 29 57 68,08,04
08/07/2015,01 38 53 63 66,10,03
08/04/2015,02 19 44 51 57,14,02
07/31/2015,28 32 33 40 46,10,04
07/28/2015,08 35 61 68 75,15,05
07/24/2015,10 12 26 60 62,13,05
07/21/2015,20 30 62 65 74,01,05
07/17/2015,06 17 30 31 41,15,03
07/14/2015,19 24 30 35 72,05,03
07/10/2015,24 27 45 51 54,08,03
07/07/2015,06 15 16 28 49,14,03
07/03/2015,33 50 64 71 72,09,04
06/30/2015,11 17 34 43 50,15,04
06/26/2015,12 23 33 47 50,03,05
06/23/2015,06 13 38 56 70,02,05
06/19/2015,04 35 36 52 68,08,03
06/16/2015,08 19 26 56 67,14,02
06/12/2015,01 40 42 56 62,02,05
06/09/2015,06 16 17 25 36,07,05
06/05/2015,07 22 27 41 49,10,04
06/02/2015,02 09 11 22 23,12,04
05/29/2015,20 27 38 49 66,02,04
05/26/2015,01 39 52 69 72,12,04
05/22/2015,03 14 15 25 48,08,05
05/19/2015,10 12 21 29 65,10,05
05/15/2015,11 17 21 36 74,15,05
05/12/2015,14 30 33 36 44,02,05
05/08/2015,09 21 25 66 72,07,03
05/05/2015,11 21 42 62 71,07,05
05/01/2015,17 18 61 66 74,03,03
04/28/2015,22 27 55 58 63,11,05
04/24/2015,24 25 29 47 67,04,04
