draw_date,winning_numbers,mega_ball,multiplier,pick5_1,pick5_2,pick5_3,pick5_4,pick5_5,pick5_sum,mega_ball_mod2,pick5_mod2_sum
2024-05-17,08 17 40 60 70,3,2,8,17,40,60,70,195,1,1
2024-05-14,13 19 43 62 64,6,3,13,19,43,62,64,201,0,3
2024-05-10,13 22 26 32 65,18,4,13,22,26,32,65,158,0,2
2024-05-03,06 13 15 53 56,11,2,6,13,15,53,56,143,1,3
2024-04-30,10 18 27 37 61,5,3,10,18,27,37,61,153,1,3
2024-04-26,15 23 53 57 61,9,3,15,23,53,57,61,209,1,5
2024-04-23,11 17 33 39 43,14,4,11,17,33,39,43,143,0,5
2024-04-19,19 30 34 46 58,3,3,19,30,34,46,58,187,1,1
2024-04-16,21 26 36 44 59,2,4,21,26,36,44,59,186,0,2
2024-03-29,11 30 33 38 60,16,4,11,30,33,38,60,172,0,2
2024-03-15,13 25 50 51 66,6,5,13,25,50,51,66,205,0,3
2024-03-12,02 16 31 57 64,24,3,2,16,31,57,64,170,0,2
2024-03-08,19 20 22 47 58,1,3,19,20,22,47,58,166,1,2
2024-03-01,15 33 37 55 61,24,4,15,33,37,55,61,201,0,5
2024-02-23,04 06 40 41 60,11,5,4,6,40,41,60,151,1,1
2024-02-16,19 23 39 42 67,18,4,19,23,39,42,67,190,0,4
2024-02-09,17 22 29 46 69,1,3,17,22,29,46,69,183,1,3
2024-02-06,02 10 31 44 57,10,4,2,10,31,44,57,144,0,2
2024-02-02,11 22 42 64 69,18,3,11,22,42,64,69,208,0,2
2024-01-30,03 05 16 58 59,11,4,3,5,16,58,59,141,1,3
2024-01-26,14 31 34 50 61,13,3,14,31,34,50,61,190,1,2
2024-01-16,02 10 42 49 54,13,2,2,10,42,49,54,157,1,1
2024-01-12,19 34 35 45 67,7,3,19,34,35,45,67,200,1,4
2024-01-09,12 15 32 33 53,24,3,12,15,32,33,53,145,0,3
2024-01-05,05 23 26 38 44,25,3,5,23,26,38,44,136,1,2
2024-01-02,03 18 27 29 64,1,2,3,18,27,29,64,141,1,3
2023-12-29,11 27 30 62 70,10,3,11,27,30,62,70,200,0,2
2023-12-26,08 10 22 58 64,21,3,8,10,22,58,64,162,1,0
2023-12-22,10 26 36 54 69,4,4,10,26,36,54,69,195,0,1
2023-12-19,17 26 50 58 61,11,3,17,26,50,58,61,212,1,2
2023-12-15,10 20 28 40 54,12,2,10,20,28,40,54,152,0,0
2023-12-12,08 23 44 45 53,3,4,8,23,44,45,53,173,1,3
2023-11-24,06 15 45 59 68,1,4,6,15,45,59,68,193,1,3
2023-11-21,17 22 25 30 38,24,4,17,22,25,30,38,132,0,2
2023-11-17,06 12 31 33 69,17,3,6,12,31,33,69,151,1,3
2023-11-07,03 11 33 42 52,20,2,3,11,33,42,52,141,0,3
2023-11-03,15 32 38 47 65,12,4,15,32,38,47,65,197,0,3
2023-10-31,14 35 37 55 70,15,3,14,35,37,55,70,211,1,3
2023-10-27,11 32 43 57 70,6,4,11,32,43,57,70,213,0,3
2023-10-24,16 20 30 54 59,7,3,16,20,30,54,59,179,1,1
2023-10-20,07 29 36 49 61,22,4,7,29,36,49,61,182,0,4
2023-10-17,05 06 29 32 61,20,4,5,6,29,32,61,133,0,3
2023-10-13,06 18 44 46 68,18,3,6,18,44,46,68,182,0,0
2023-10-10,03 08 17 46 63,7,4,3,8,17,46,63,137,1,3
2023-10-06,12 24 46 57 66,22,3,12,24,46,57,66,205,0,1
