draw_date,draw_num,winning_numbers,mega_ball,mega_ball_mod2,multiplier,pick5_1,pick5_1_zscore,pick5_2,pick5_2_zscore,pick5_3,pick5_3_zscore,pick5_4,pick5_4_zscore,pick5_5,pick5_5_zscore,pick5_sum,pick5_sum_zscore,pick5_mod2_sum
2024-05-17,40,08 17 40 60 70,3,1,2,8,-0.35952062701646287,17,-0.4925087204219308,40,0.43143668825838627,60,1.0827088450593074,70,1.1238431451587028,195,0.49552489617558715,1
2024-05-14,39,13 19 43 62 64,6,0,3,13,0.214503903514024,19,-0.3218954184373268,43,0.6644738254803416,62,1.2418007569863894,64,0.5374901998585101,201,0.6321571303804119,3
2024-05-10,38,13 22 26 32 65,18,0,4,13,0.214503903514024,22,-0.06597546546042075,26,-0.6560699521107387,32,-1.1445779219198389,65,0.6352156907418756,158,-0.3470405480874983,2
2024-05-07,37,26 28 36 63 66,15,1,3,26,1.7069676828932898,28,0.44586444049339125,36,0.12072050529577913,63,1.3213467129499303,66,0.732941181625241,219,1.0420538329948859,1
2024-05-03,36,06 13 15 53 56,11,1,2,6,-0.5891304392286576,13,-0.8337353243911387,15,-1.5105394552579083,53,0.525887153314521,56,-0.24431372720841366,143,-0.68862113359956,3
2024-04-30,35,10 18 27 37 61,5,1,3,10,-0.1299108148042681,18,-0.4072020694296288,27,-0.5783909063700868,37,-0.7468481421021341,61,0.24431372720841366,153,-0.46090074325818553,3
2024-04-26,34,15 23 53 57 61,9,1,3,15,0.44411371572621877,23,0.019331185531881245,53,1.4412642828868594,57,0.8440709771686846,61,0.24431372720841366,209,0.8143334426535114,5
2024-04-23,33,11 17 33 39 43,14,0,4,11,-0.015105908698170729,17,-0.4925087204219308,33,-0.1123166319261762,39,-0.5877562301750523,43,-1.5147451086921646,143,-0.68862113359956,5
2024-04-19,32,19 30 34 46 58,3,1,3,19,0.9033333401506083,30,0.6164777424779952,34,-0.034637586185524434,46,-0.03093453843026567,58,-0.04886274544168273,187,0.3133485839024876,1
2024-04-16,31,21 26 36 44 59,2,0,4,21,1.132943152362803,26,0.27525113850878724,36,0.12072050529577913,44,-0.19002645035734755,59,0.04886274544168273,186,0.29057654486835016,2
2024-04-12,30,01 12 14 18 66,16,0,2,1,-1.1631549697591446,12,-0.9190419753834408,14,-1.58821850099856,18,-2.258221305409412,66,0.732941181625241,111,-1.4173263826919582,1
2024-04-09,29,34 43 51 52 69,25,1,4,34,2.6254069317420687,43,1.7254642053779212,51,1.2859061914055558,52,0.44634119735098,69,1.0261176542753374,249,1.7252150040190093,3
2024-04-05,28,20 30 54 63 65,14,0,3,20,1.0181382462567057,30,0.6164777424779952,54,1.5189433286275111,63,1.3213467129499303,65,0.6352156907418756,232,1.3380903404386726,2
2024-04-02,27,10 50 56 60 66,19,1,3,10,-0.1299108148042681,50,2.322610762324035,56,1.6743014201088147,60,1.0827088450593074,66,0.732941181625241,242,1.565810730780047,0
2024-03-29,26,11 30 33 38 60,16,0,4,11,-0.015105908698170729,30,0.6164777424779952,33,-0.1123166319261762,38,-0.6673021861385932,60,0.1465882363250482,172,-0.028232001609574064,2
2024-03-26,25,07 11 22 29 38,4,0,2,7,-0.4743255331225602,11,-1.0043486263757428,22,-0.9667861350733458,29,-1.3832157898104616,38,-2.003372563108992,107,-1.508414538828508,3
2024-03-22,24,03 08 31 35 44,16,0,3,3,-0.9335451575469498,8,-1.2602685793526487,31,-0.2676747234074798,35,-0.905940054029216,44,-1.4170196178087993,121,-1.1896059923505837,3
2024-03-19,23,24 46 49 62 66,7,1,2,24,1.4773578706810953,46,1.9813841583548273,49,1.1305480999242523,62,1.2418007569863894,66,0.732941181625241,247,1.6796709259507343,1
2024-03-15,22,13 25 50 51 66,6,0,5,13,0.214503903514024,25,0.18994448751648524,50,1.208227145664904,51,0.366795241387439,66,0.732941181625241,205,0.7232452865169616,3
2024-03-12,21,02 16 31 57 64,24,0,3,2,-1.0483500636530472,16,-0.5778153714142328,31,-0.2676747234074798,57,0.8440709771686846,64,0.5374901998585101,170,-0.07377607967784895,2
2024-03-08,20,19 20 22 47 58,1,1,3,19,0.9033333401506083,20,-0.23658876744502477,22,-0.9667861350733458,47,0.04861141753327527,58,-0.04886274544168273,166,-0.16486423581439874,2
