draw_date,variable,value
05/17/2024,mega_ball,3
05/17/2024,multiplier,2.0
05/17/2024,pick5_1,8
05/17/2024,pick5_2,17
05/17/2024,pick5_3,40
05/17/2024,pick5_4,60
05/17/2024,pick5_5,70
05/17/2024,winning_numbers,08 17 40 60 70
05/14/2024,mega_ball,6
05/14/2024,multiplier,3.0
05/14/2024,pick5_1,13
05/14/2024,pick5_2,19
05/14/2024,pick5_3,43
05/14/2024,pick5_4,62
05/14/2024,pick5_5,64
05/14/2024,winning_numbers,13 19 43 62 64
05/10/2024,mega_ball,18
05/10/2024,multiplier,4.0
05/10/2024,pick5_1,13
05/10/2024,pick5_2,22
05/10/2024,pick5_3,26
05/10/2024,pick5_4,32
05/10/2024,pick5_5,65
05/10/2024,winning_numbers,13 22 26 32 65
05/07/2024,mega_ball,15
05/07/2024,multiplier,3.0
05/07/2024,pick5_1,26
05/07/2024,pick5_2,28
05/07/2024,pick5_3,36
05/07/2024,pick5_4,63
05/07/2024,pick5_5,66
05/07/2024,winning_numbers,26 28 36 63 66
05/03/2024,mega_ball,11
05/03/2024,multiplier,2.0
05/03/2024,pick5_1,6
05/03/2024,pick5_2,13
05/03/2024,pick5_3,15
05/03/2024,pick5_4,53
05/03/2024,pick5_5,56
05/03/2024,winning_numbers,06 13 15 53 56
04/30/2024,mega_ball,5
04/30/2024,multiplier,3.0
04/30/2024,pick5_1,10
04/30/2024,pick5_2,18
04/30/2024,pick5_3,27
04/30/2024,pick5_4,37
04/30/2024,pick5_5,61
04/30/2024,winning_numbers,10 18 27 37 61
04/26/2024,mega_ball,9
04/26/2024,multiplier,3.0
04/26/2024,pick5_1,15
04/26/2024,pick5_2,23
04/26/2024,pick5_3,53
04/26/2024,pick5_4,57
04/26/2024,pick5_5,61
04/26/2024,winning_numbers,15 23 53 57 61
04/23/2024,mega_ball,14
04/23/2024,multiplier,4.0
04/23/2024,pick5_1,11
04/23/2024,pick5_2,17
04/23/2024,pick5_3,33
04/23/2024,pick5_4,39
04/23/2024,pick5_5,43
04/23/2024,winning_numbers,11 17 33 39 43
04/19/2024,mega_ball,3
04/19/2024,multiplier,3.0
04/19/2024,pick5_1,19
04/19/2024,pick5_2,30
04/19/2024,pick5_3,34
04/19/2024,pick5_4,46
04/19/2024,pick5_5,58
04/19/2024,winning_numbers,19 30 34 46 58
04/16/2024,mega_ball,2
04/16/2024,multiplier,4.0
04/16/2024,pick5_1,21
04/16/2024,pick5_2,26
04/16/2024,pick5_3,36
04/16/2024,pick5_4,44
04/16/2024,pick5_5,59
04/16/2024,winning_numbers,21 26 36 44 59
04/12/2024,mega_ball,16
04/12/2024,multiplier,2.0
04/12/2024,pick5_1,1
04/12/2024,pick5_2,12
04/12/2024,pick5_3,14
04/12/2024,pick5_4,18
04/12/2024,pick5_5,66
04/12/2024,winning_numbers,01 12 14 18 66
04/09/2024,mega_ball,25
04/09/2024,multiplier,4.0
04/09/2024,pick5_1,34
04/09/2024,pick5_2,43
04/09/2024,pick5_3,51
04/09/2024,pick5_4,52
04/09/2024,pick5_5,69
04/09/2024,winning_numbers,34 43 51 52 69
04/05/2024,mega_ball,14
04/05/2024,multiplier,3.0
04/05/2024,pick5_1,20
04/05/2024,pick5_2,30
04/05/2024,pick5_3,54
04/05/2024,pick5_4,63
04/05/2024,pick5_5,65
04/05/2024,winning_numbers,20 30 54 63 65
04/02/2024,mega_ball,19
04/02/2024,multiplier,3.0
04/02/2024,pick5_1,10
04/02/2024,pick5_2,50
04/02/2024,pick5_3,56
04/02/2024,pick5_4,60
04/02/2024,pick5_5,66
04/02/2024,winning_numbers,10 50 56 60 66
03/29/2024,mega_ball,16
03/29/2024,multiplier,4.0
03/29/2024,pick5_1,11
03/29/2024,pick5_2,30
03/29/2024,pick5_3,33
03/29/2024,pick5_4,38
03/29/2024,pick5_5,60
03/29/2024,winning_numbers,11 30 33 38 60
03/26/2024,mega_ball,4
03/26/2024,multiplier,2.0
03/26/2024,pick5_1,7
03/26/2024,pick5_2,11
03/26/2024,pick5_3,22
03/26/2024,pick5_4,29
03/26/2024,pick5_5,38
03/26/2024,winning_numbers,07 11 22 29 38
03/22/2024,mega_ball,16
03/22/2024,multiplier,3.0
03/22/2024,pick5_1,3
03/22/2024,pick5_2,8
03/22/2024,pick5_3,31
03/22/2024,pick5_4,35
03/22/2024,pick5_5,44
03/22/2024,winning_numbers,03 08 31 35 44
03/19/2024,mega_ball,7
03/19/2024,multiplier,2.0
03/19/2024,pick5_1,24
03/19/2024,pick5_2,46
03/19/2024,pick5_3,49
03/19/2024,pick5_4,62
03/19/2024,pick5_5,66
03/19/2024,winning_numbers,24 46 49 62 66
03/15/2024,mega_ball,6
03/15/2024,multiplier,5.0
03/15/2024,pick5_1,13
03/15/2024,pick5_2,25
03/15/2024,pick5_3,50
03/15/2024,pick5_4,51
03/15/2024,pick5_5,66
03/15/2024,winning_numbers,13 25 50 51 66
03/12/2024,mega_ball,24
03/12/2024,multiplier,3.0
03/12/2024,pick5_1,2
03/12/2024,pick5_2,16
03/12/2024,pick5_3,31
03/12/2024,pick5_4,57
03/12/2024,pick5_5,64
03/12/2024,winning_numbers,02 16 31 57 64
03/08/2024,mega_ball,1
03/08/2024,multiplier,3.0
03/08/2024,pick5_1,19
03/08/2024,pick5_2,20
03/08/2024,pick5_3,22
03/08/2024,pick5_4,47
03/08/2024,pick5_5,58
03/08/2024,winning_numbers,19 20 22 47 58
03/05/2024,mega_ball,14
03/05/2024,multiplier,2.0
03/05/2024,pick5_1,2
03/05/2024,pick5_2,49
03/05/2024,pick5_3,50
03/05/2024,pick5_4,61
03/05/2024,pick5_5,70
03/05/2024,winning_numbers,02 49 50 61 70
03/01/2024,mega_ball,24
03/01/2024,multiplier,4.0
03/01/2024,pick5_1,15
03/01/2024,pick5_2,33
03/01/2024,pick5_3,37
03/01/2024,pick5_4,55
03/01/2024,pick5_5,61
03/01/2024,winning_numbers,15 33 37 55 61
02/27/2024,mega_ball,4
02/27/2024,multiplier,3.0
02/27/2024,pick5_1,6
02/27/2024,pick5_2,18
02/27/2024,pick5_3,26
02/27/2024,pick5_4,27
02/27/2024,pick5_5,49
02/27/2024,winning_numbers,06 18 26 27 49
02/23/2024,mega_ball,11
02/23/2024,multiplier,5.0
02/23/2024,pick5_1,4
02/23/2024,pick5_2,6
02/23/2024,pick5_3,40
02/23/2024,pick5_4,41
02/23/2024,pick5_5,60
02/23/2024,winning_numbers,04 06 40 41 60
02/20/2024,mega_ball,7
02/20/2024,multiplier,2.0
02/20/2024,pick5_1,5
02/20/2024,pick5_2,45
02/20/2024,pick5_3,55
02/20/2024,pick5_4,58
02/20/2024,pick5_5,68
02/20/2024,winning_numbers,05 45 55 58 68
02/16/2024,mega_ball,18
02/16/2024,multiplier,4.0
02/16/2024,pick5_1,19
02/16/2024,pick5_2,23
02/16/2024,pick5_3,39
02/16/2024,pick5_4,42
02/16/2024,pick5_5,67
02/16/2024,winning_numbers,19 23 39 42 67
02/13/2024,mega_ball,20
02/13/2024,multiplier,3.0
02/13/2024,pick5_1,1
02/13/2024,pick5_2,3
02/13/2024,pick5_3,19
02/13/2024,pick5_4,25
02/13/2024,pick5_5,58
02/13/2024,winning_numbers,01 03 19 25 58
02/09/2024,mega_ball,1
02/09/2024,multiplier,3.0
02/09/2024,pick5_1,17
02/09/2024,pick5_2,22
02/09/2024,pick5_3,29
02/09/2024,pick5_4,46
02/09/2024,pick5_5,69
02/09/2024,winning_numbers,17 22 29 46 69
02/06/2024,mega_ball,10
02/06/2024,multiplier,4.0
02/06/2024,pick5_1,2
02/06/2024,pick5_2,10
02/06/2024,pick5_3,31
02/06/2024,pick5_4,44
02/06/2024,pick5_5,57
02/06/2024,winning_numbers,02 10 31 44 57
02/02/2024,mega_ball,18
02/02/2024,multiplier,3.0
02/02/2024,pick5_1,11
02/02/2024,pick5_2,22
02/02/2024,pick5_3,42
02/02/2024,pick5_4,64
02/02/2024,pick5_5,69
02/02/2024,winning_numbers,11 22 42 64 69
01/30/2024,mega_ball,11
01/30/2024,multiplier,4.0
01/30/2024,pick5_1,3
01/30/2024,pick5_2,5
01/30/2024,pick5_3,16
01/30/2024,pick5_4,58
01/30/2024,pick5_5,59
01/30/2024,winning_numbers,03 05 16 58 59
01/26/2024,mega_ball,13
01/26/2024,multiplier,3.0
01/26/2024,pick5_1,14
01/26/2024,pick5_2,31
01/26/2024,pick5_3,34
01/26/2024,pick5_4,50
01/26/2024,pick5_5,61
01/26/2024,winning_numbers,14 31 34 50 61
01/23/2024,mega_ball,20
01/23/2024,multiplier,2.0
01/23/2024,pick5_1,21
01/23/2024,pick5_2,28
01/23/2024,pick5_3,58
01/23/2024,pick5_4,69
01/23/2024,pick5_5,70
01/23/2024,winning_numbers,21 28 58 69 70
01/19/2024,mega_ball,17
01/19/2024,multiplier,2.0
01/19/2024,pick5_1,1
01/19/2024,pick5_2,9
01/19/2024,pick5_3,16
01/19/2024,pick5_4,17
01/19/2024,pick5_5,30
01/19/2024,winning_numbers,01 09 16 17 30
01/16/2024,mega_ball,13
01/16/2024,multiplier,2.0
01/16/2024,pick5_1,2
01/16/2024,pick5_2,10
01/16/2024,pick5_3,42
01/16/2024,pick5_4,49
01/16/2024,pick5_5,54
01/16/2024,winning_numbers,02 10 42 49 54
01/12/2024,mega_ball,7
01/12/2024,multiplier,3.0
01/12/2024,pick5_1,19
01/12/2024,pick5_2,34
01/12/2024,pick5_3,35
01/12/2024,pick5_4,45
01/12/2024,pick5_5,67
01/12/2024,winning_numbers,19 34 35 45 67
01/09/2024,mega_ball,24
01/09/2024,multiplier,3.0
01/09/2024,pick5_1,12
01/09/2024,pick5_2,15
01/09/2024,pick5_3,32
01/09/2024,pick5_4,33
01/09/2024,pick5_5,53
01/09/2024,winning_numbers,12 15 32 33 53
01/05/2024,mega_ball,25
01/05/2024,multiplier,3.0
01/05/2024,pick5_1,5
01/05/2024,pick5_2,23
01/05/2024,pick5_3,26
01/05/2024,pick5_4,38
01/05/2024,pick5_5,44
01/05/2024,winning_numbers,05 23 26 38 44
01/02/2024,mega_ball,1
01/02/2024,multiplier,2.0
01/02/2024,pick5_1,3
01/02/2024,pick5_2,18
01/02/2024,pick5_3,27
01/02/2024,pick5_4,29
01/02/2024,pick5_5,64
01/02/2024,winning_numbers,03 18 27 29 64
12/29/2023,mega_ball,10
12/29/2023,multiplier,3.0
12/29/2023,pick5_1,11
12/29/2023,pick5_2,27
12/29/2023,pick5_3,30
12/29/2023,pick5_4,62
12/29/2023,pick5_5,70
12/29/2023,winning_numbers,11 27 30 62 70
12/26/2023,mega_ball,21
12/26/2023,multiplier,3.0
12/26/2023,pick5_1,8
12/26/2023,pick5_2,10
12/26/2023,pick5_3,22
12/26/2023,pick5_4,58
12/26/2023,pick5_5,64
12/26/2023,winning_numbers,08 10 22 58 64
12/22/2023,mega_ball,4
12/22/2023,multiplier,4.0
12/22/2023,pick5_1,10
12/22/2023,pick5_2,26
12/22/2023,pick5_3,36
12/22/2023,pick5_4,54
12/22/2023,pick5_5,69
12/22/2023,winning_numbers,10 26 36 54 69
12/19/2023,mega_ball,11
12/19/2023,multiplier,3.0
12/19/2023,pick5_1,17
12/19/2023,pick5_2,26
12/19/2023,pick5_3,50
12/19/2023,pick5_4,58
12/19/2023,pick5_5,61
12/19/2023,winning_numbers,17 26 50 58 61
12/15/2023,mega_ball,12
12/15/2023,multiplier,2.0
12/15/2023,pick5_1,10
12/15/2023,pick5_2,20
12/15/2023,pick5_3,28
12/15/2023,pick5_4,40
12/15/2023,pick5_5,54
12/15/2023,winning_numbers,10 20 28 40 54
12/12/2023,mega_ball,3
12/12/2023,multiplier,4.0
12/12/2023,pick5_1,8
12/12/2023,pick5_2,23
12/12/2023,pick5_3,44
12/12/2023,pick5_4,45
12/12/2023,pick5_5,53
12/12/2023,winning_numbers,08 23 44 45 53
12/08/2023,mega_ball,13
12/08/2023,multiplier,3.0
12/08/2023,pick5_1,21
12/08/2023,pick5_2,26
12/08/2023,pick5_3,53
12/08/2023,pick5_4,66
12/08/2023,pick5_5,70
12/08/2023,winning_numbers,21 26 53 66 70
12/05/2023,mega_ball,18
12/05/2023,multiplier,4.0
12/05/2023,pick5_1,18
12/05/2023,pick5_2,35
12/05/2023,pick5_3,40
12/05/2023,pick5_4,64
12/05/2023,pick5_5,67
12/05/2023,winning_numbers,18 35 40 64 67
12/01/2023,mega_ball,12
12/01/2023,multiplier,4.0
12/01/2023,pick5_1,12
12/01/2023,pick5_2,47
12/01/2023,pick5_3,49
12/01/2023,pick5_4,52
12/01/2023,pick5_5,65
12/01/2023,winning_numbers,12 47 49 52 65
11/28/2023,mega_ball,11
11/28/2023,multiplier,3.0
11/28/2023,pick5_1,27
11/28/2023,pick5_2,37
11/28/2023,pick5_3,42
11/28/2023,pick5_4,59
11/28/2023,pick5_5,61
11/28/2023,winning_numbers,27 37 42 59 61
11/24/2023,mega_ball,1
11/24/2023,multiplier,4.0
11/24/2023,pick5_1,6
11/24/2023,pick5_2,15
11/24/2023,pick5_3,45
11/24/2023,pick5_4,59
11/24/2023,pick5_5,68
11/24/2023,winning_numbers,06 15 45 59 68
11/21/2023,mega_ball,24
11/21/2023,multiplier,4.0
