draw_date,winning_numbers,mega_ball,multiplier,pick5_1,pick5_2,pick5_3,pick5_4,pick5_5
2024-05-17,08 17 40 60 70,3,2,8,17,40,60,70
2024-05-14,13 19 43 62 64,6,3,13,19,43,62,64
2024-05-10,13 22 26 32 65,18,4,13,22,26,32,65
2024-05-07,26 28 36 63 66,15,3,26,28,36,63,66
2024-05-03,06 13 15 53 56,11,2,6,13,15,53,56
2024-04-30,10 18 27 37 61,5,3,10,18,27,37,61
2024-04-26,15 23 53 57 61,9,3,15,23,53,57,61
2024-04-23,11 17 33 39 43,14,4,11,17,33,39,43
2024-04-19,19 30 34 46 58,3,3,19,30,34,46,58
2024-04-16,21 26 36 44 59,2,4,21,26,36,44,59
2024-04-12,01 12 14 18 66,16,2,1,12,14,18,66
2024-04-09,34 43 51 52 69,25,4,34,43,51,52,69
2024-04-05,20 30 54 63 65,14,3,20,30,54,63,65
2024-04-02,10 50 56 60 66,19,3,10,50,56,60,66
2024-03-29,11 30 33 38 60,16,4,11,30,33,38,60
2024-03-26,07 11 22 29 38,4,2,7,11,22,29,38
2024-03-22,03 08 31 35 44,16,3,3,8,31,35,44
2024-03-19,24 46 49 62 66,7,2,24,46,49,62,66
2024-03-15,13 25 50 51 66,6,5,13,25,50,51,66
2024-03-12,02 16 31 57 64,24,3,2,16,31,57,64
2024-03-08,19 20 22 47 58,1,3,19,20,22,47,58
2024-03-05,02 49 50 61 70,14,2,2,49,50,61,70
2024-03-01,15 33 37 55 61,24,4,15,33,37,55,61
2024-02-27,06 18 26 27 49,4,3,6,18,26,27,49
2024-02-23,04 06 40 41 60,11,5,4,6,40,41,60
2024-02-20,05 45 55 58 68,7,2,5,45,55,58,68
2024-02-16,19 23 39 42 67,18,4,19,23,39,42,67
2024-02-13,01 03 19 25 58,20,3,1,3,19,25,58
2024-02-09,17 22 29 46 69,1,3,17,22,29,46,69
2024-02-06,02 10 31 44 57,10,4,2,10,31,44,57
2024-02-02,11 22 42 64 69,18,3,11,22,42,64,69
2024-01-30,03 05 16 58 59,11,4,3,5,16,58,59
2024-01-26,14 31 34 50 61,13,3,14,31,34,50,61
2024-01-23,21 28 58 69 70,20,2,21,28,58,69,70
2024-01-19,01 09 16 17 30,17,2,1,9,16,17,30
2024-01-16,02 10 42 49 54,13,2,2,10,42,49,54
2024-01-12,19 34 35 45 67,7,3,19,34,35,45,67
2024-01-09,12 15 32 33 53,24,3,12,15,32,33,53
2024-01-05,05 23 26 38 44,25,3,5,23,26,38,44
2024-01-02,03 18 27 29 64,1,2,3,18,27,29,64
2023-12-29,11 27 30 62 70,10,3,11,27,30,62,70
2023-12-26,08 10 22 58 64,21,3,8,10,22,58,64
2023-12-22,10 26 36 54 69,4,4,10,26,36,54,69
2023-12-19,17 26 50 58 61,11,3,17,26,50,58,61
2023-12-15,10 20 28 40 54,12,2,10,20,28,40,54
2023-12-12,08 23 44 45 53,3,4,8,23,44,45,53
2023-12-08,21 26 53 66 70,13,3,21,26,53,66,70
2023-12-05,18 35 40 64 67,18,4,18,35,40,64,67
2023-12-01,12 47 49 52 65,12,4,12,47,49,52,65
2023-11-28,27 37 42 59 61,11,3,27,37,42,59,61
2023-11-24,06 15 45 59 68,1,4,6,15,45,59,68
2023-11-21,17 22 25 30 38,24,4,17,22,25,30,38
2023-11-17,06 12 31 33 69,17,3,6,12,31,33,69
