customer_id,signup_date,segment,city
1000,2020-07-13,Consumer,Seattle
1001,2021-06-25,SMB,Austin
1002,2020-12-24,Corporate,Boston
1003,2022-04-29,SMB,Seattle
1004,2021-03-02,Consumer,Boston
1005,2021-05-11,Consumer,Seattle
1006,2022-04-07,Consumer,Austin
1007,2021-04-30,Consumer,Miami
1008,2020-11-25,Consumer,Austin
1009,2022-06-07,SMB,Denver
1010,2022-09-17,SMB,Denver
1011,2023-03-16,Corporate,Seattle
1012,2020-09-15,Consumer,Denver
1013,2020-10-18,Consumer,Austin
1014,2020-05-22,SMB,Boston
1015,2022-01-16,Consumer,Austin
1016,2021-09-18,SMB,Seattle
1017,2020-03-30,Consumer,Denver
1018,2021-12-20,Consumer,Boston
1019,2023-04-02,SMB,Miami
1020,2021-04-25,Consumer,Boston
1021,2020-03-24,Corporate,Boston
1022,2023-01-05,Corporate,Austin
1023,2021-11-03,Consumer,Miami
1024,2021-05-31,Consumer,Seattle
1025,2021-04-29,Corporate,Seattle
1026,2022-02-20,SMB,Boston
1027,2020-04-13,Consumer,Boston
1028,2020-12-04,SMB,Denver
1029,2021-11-17,Consumer,Miami
1030,2022-06-18,Consumer,Boston
1031,2021-08-29,Consumer,Denver
1032,2020-08-10,Consumer,Miami
1033,2022-10-29,Consumer,Seattle
1034,2022-12-12,SMB,Denver
1035,2023-01-05,Consumer,Miami
1036,2021-05-17,Consumer,Denver
1037,2022-04-01,Consumer,Boston
1038,2021-09-15,SMB,Austin
1039,2020-06-13,SMB,Seattle
1040,2022-11-16,Consumer,Boston
1041,2022-12-29,Consumer,Boston
1042,2023-02-21,Consumer,Miami
1043,2020-01-19,Consumer,Denver
1044,2022-11-11,Consumer,Seattle
1045,2022-09-15,Consumer,Boston
1046,2021-03-25,Consumer,Miami
1047,2021-07-05,Corporate,Seattle
1048,2022-12-07,Consumer,Denver
1049,2021-11-25,SMB,Boston
1050,2021-08-09,SMB,Boston
1051,2021-12-21,Corporate,Boston
1052,2020-04-16,Consumer,Seattle
1053,2022-02-14,Consumer,Seattle
1054,2023-01-14,Consumer,Seattle
1055,2023-03-06,SMB,Seattle
1056,2022-06-16,Consumer,Miami
1057,2020-12-01,SMB,Austin
1058,2021-08-29,SMB,Miami
1059,2022-04-17,Consumer,Boston
1060,2021-08-24,Corporate,Miami
1061,2021-02-06,Consumer,Denver
1062,2021-06-23,Consumer,Seattle
1063,2022-12-31,Consumer,Denver
1064,2020-01-24,Consumer,Denver
1065,2021-09-15,SMB,Boston
1066,2022-12-15,Consumer,Seattle
1067,2022-09-12,Consumer,Denver
1068,2020-08-10,Corporate,Boston
1069,2020-06-27,Corporate,Seattle
1070,2022-03-10,Consumer,Austin
1071,2021-03-09,SMB,Boston
1072,2022-03-03,Corporate,Miami
1073,2022-06-02,Consumer,Seattle
1074,2021-05-06,Consumer,Denver
1075,2022-03-20,Consumer,Denver
1076,2022-08-18,SMB,Miami
1077,2021-02-23,Corporate,Miami
1078,2021-10-10,SMB,Denver
1079,2023-04-02,Consumer,Seattle
1080,2021-04-20,Consumer,Boston
1081,2020-06-18,Consumer,Miami
1082,2020-06-22,Consumer,Miami
1083,2021-04-14,Corporate,Miami
1084,2020-12-10,SMB,Austin
1085,2021-03-20,Consumer,Seattle
1086,2022-11-07,Consumer,Seattle
1087,2022-12-29,Consumer,Seattle
1088,2021-09-19,Consumer,Seattle
1089,2021-08-14,Consumer,Seattle
1090,2021-06-10,Consumer,Denver
1091,2021-03-31,Consumer,Miami
1092,2022-03-21,Consumer,Denver
1093,2020-07-06,Consumer,Austin
1094,2022-10-17,Consumer,Boston
1095,2021-12-11,Corporate,Miami
1096,2021-06-12,Consumer,Austin
1097,2021-03-09,SMB,Denver
1098,2020-10-14,Consumer,Boston
1099,2021-05-13,Consumer,Austin
