order_date,product,category,region,units,unit_price,customer_id,sales_rep,revenue
2023-04-13,Keyboard,Accessories,East,6.0,43.22,1045,Carla,259.32
2023-12-15,Keyboard,Accessories,North,7.0,46.13,1024,Diego,322.91
2023-09-28,Laptop,Electronics,North,6.0,962.91,1020,Alice,5777.46
2023-04-17,Webcam,Accessories,South,3.0,55.14,1087,Diego,165.42
2023-03-13,Mouse,Accessories,South,4.0,24.22,1004,Carla,96.88
2023-07-08,Chair,Furniture,East,1.0,132.21,1069,Carla,132.21
2023-01-21,Mouse,Accessories,East,1.0,25.37,1046,Alice,25.37
2023-04-13,Headset,Accessories,South,6.0,82.93,1086,Diego,497.58
2023-05-02,Desk,Furniture,North,2.0,181.48,1067,Diego,362.96
2023-08-03,Mouse,Accessories,West,6.0,22.77,1090,Alice,136.62
2023-11-27,Monitor,Electronics,South,7.0,235.36,1017,Diego,1647.52
2023-03-29,Mouse,Accessories,South,6.0,25.28,1020,Alice,151.68
2023-04-10,Headset,Accessories,North,1.0,76.18,1091,Bob,76.18
2023-12-26,Chair,Furniture,East,3.0,109.5,1098,Carla,328.5
2023-06-01,Mouse,Accessories,,6.0,27.77,1085,Bob,166.62
2023-05-11,Monitor,Electronics,North,3.0,286.32,1022,Emma,858.96
2023-05-30,Laptop,Electronics,North,3.0,988.46,1063,Emma,2965.38
2023-11-05,Desk,Furniture,East,2.0,200.42,1066,Emma,400.84
2023-09-15,Headset,Accessories,East,3.0,76.84,1039,Alice,230.52
2023-12-10,Laptop,Electronics,North,1.0,1026.14,1009,Diego,1026.14
2023-10-21,Laptop,Electronics,West,4.0,854.31,1088,Bob,3417.24
2023-07-11,Laptop,Electronics,North,4.0,1024.07,1051,Bob,4096.28
2023-10-04,Keyboard,Accessories,South,5.0,51.69,1071,Bob,258.45
2023-06-10,Desk,Furniture,West,7.0,194.03,1074,Bob,1358.21
2023-11-10,Chair,Furniture,South,6.0,137.43,1060,Emma,824.58
2023-01-22,Webcam,Accessories,East,7.0,62.54,1063,Bob,437.78
2023-09-10,Desk,Furniture,South,1.0,173.68,1004,Diego,173.68
2023-08-24,Keyboard,Accessories,North,3.0,45.42,1052,Emma,136.26
2023-12-11,Webcam,Accessories,West,4.0,62.9,1054,Bob,251.6
2023-02-18,Desk,Furniture,South,7.0,165.29,1036,Alice,1157.03
2023-02-28,Laptop,Electronics,West,1.0,950.03,1055,Carla,950.03
2023-06-19,Headset,Accessories,North,4.0,91.62,1058,Carla,366.48
2023-07-07,Webcam,Accessories,North,3.0,56.85,1092,Carla,170.55
2023-09-28,Monitor,Electronics,North,7.0,274.54,1068,Emma,1921.78
