date,temp_c,rainfall_mm,humidity_pct
2023-01-01,12.8,3.6,78.0
2023-01-02,9.2,7.5,79.0
2023-01-03,15.7,4.5,77.0
2023-01-04,16.7,3.1,85.0
2023-01-05,15.5,1.6,66.0
2023-01-06,17.7,2.9,78.0
2023-01-07,13.4,0.0,84.0
2023-01-08,15.9,1.5,69.0
2023-01-09,15.9,8.2,82.0
2023-01-10,16.3,0.7,74.0
2023-01-11,19.1,5.5,79.0
2023-01-12,16.7,0.0,75.0
2023-01-13,16.5,2.3,83.0
2023-01-14,15.4,0.9,77.0
2023-01-15,20.1,5.3,83.0
2023-01-16,,6.5,81.0
2023-01-17,16.6,2.0,75.0
2023-01-18,21.3,2.2,82.0
2023-01-19,19.0,10.2,76.0
2023-01-20,18.2,4.8,80.0
2023-01-21,18.4,0.0,78.0
2023-01-22,16.7,0.7,84.0
2023-01-23,18.6,0.8,82.0
2023-01-24,18.2,3.6,80.0
2023-01-25,,4.1,76.0
2023-01-26,16.2,4.4,73.0
2023-01-27,20.1,0.0,81.0
2023-01-28,21.5,6.0,77.0
2023-01-29,19.2,0.2,71.0
2023-01-30,21.1,0.0,73.0
2023-01-31,20.6,4.0,88.0
2023-02-01,18.9,7.1,77.0
2023-02-02,18.1,5.1,85.0
2023-02-03,18.6,2.4,78.0
2023-02-04,21.1,3.4,86.0
2023-02-05,20.6,0.0,86.0
2023-02-06,23.4,0.0,76.0
2023-02-07,22.5,9.4,70.0
2023-02-08,22.7,1.3,70.0
2023-02-09,21.8,0.2,76.0
2023-02-10,19.4,0.0,89.0
2023-02-11,22.2,3.7,78.0
2023-02-12,21.8,3.5,80.0
2023-02-13,19.5,2.3,86.0
2023-02-14,24.3,3.8,80.0
2023-02-15,24.2,2.7,80.0
2023-02-16,19.8,0.7,83.0
2023-02-17,21.0,0.0,81.0
2023-02-18,21.3,5.7,79.0
2023-02-19,23.7,3.6,76.0
2023-02-20,23.6,4.0,80.0
2023-02-21,22.8,4.3,85.0
2023-02-22,23.4,2.5,88.0
2023-02-23,20.3,1.1,80.0
2023-02-24,23.8,5.7,82.0
2023-02-25,22.9,1.3,80.0
2023-02-26,,1.8,78.0
2023-02-27,20.3,0.5,81.0
2023-02-28,23.5,4.5,84.0
2023-03-01,24.2,1.0,74.0
2023-03-02,20.2,3.0,71.0
2023-03-03,23.7,1.4,75.0
2023-03-04,24.0,0.0,79.0
2023-03-05,22.7,4.4,82.0
2023-03-06,24.7,3.2,72.0
2023-03-07,23.7,0.8,65.0
2023-03-08,24.6,2.4,74.0
2023-03-09,25.2,4.6,76.0
2023-03-10,25.3,7.9,71.0
2023-03-11,26.3,2.1,72.0
2023-03-12,25.0,1.6,80.0
2023-03-13,23.5,2.0,76.0
2023-03-14,23.2,0.5,77.0
2023-03-15,22.4,1.8,74.0
2023-03-16,24.9,0.4,71.0
2023-03-17,27.3,0.6,73.0
2023-03-18,23.9,0.0,77.0
2023-03-19,25.6,1.3,67.0
2023-03-20,23.2,1.5,83.0
2023-03-21,25.2,2.7,77.0
2023-03-22,27.3,0.0,71.0
2023-03-23,26.2,3.7,78.0
2023-03-24,21.7,0.9,79.0
2023-03-25,26.0,0.0,71.0
2023-03-26,26.2,3.2,72.0
2023-03-27,25.3,0.5,80.0
2023-03-28,26.3,7.8,83.0
2023-03-29,23.3,0.0,72.0
2023-03-30,25.1,2.3,66.0
2023-03-31,27.2,0.0,69.0
2023-04-01,27.0,0.0,76.0
2023-04-02,26.1,9.8,66.0
2023-04-03,23.2,0.9,69.0
2023-04-04,22.9,0.1,72.0
2023-04-05,25.2,3.3,65.0
2023-04-06,25.3,2.0,75.0
2023-04-07,24.8,0.0,73.0
2023-04-08,23.3,0.0,79.0
2023-04-09,25.8,0.0,73.0
2023-04-10,25.1,0.0,64.0
2023-04-11,25.5,0.5,71.0
2023-04-12,26.0,1.0,73.0
2023-04-13,,4.3,73.0
2023-04-14,23.8,1.6,63.0
2023-04-15,27.0,0.0,62.0
2023-04-16,23.2,0.0,61.0
2023-04-17,23.7,3.1,74.0
2023-04-18,27.1,1.8,69.0
2023-04-19,23.5,0.4,61.0
2023-04-20,24.3,0.0,66.0
2023-04-21,23.6,8.6,64.0
2023-04-22,20.8,10.5,60.0
2023-04-23,,2.3,64.0
2023-04-24,22.3,0.8,65.0
2023-04-25,24.7,0.1,73.0
2023-04-26,26.4,1.9,60.0
2023-04-27,19.7,6.0,54.0
2023-04-28,23.2,1.1,57.0
2023-04-29,24.8,0.0,58.0
2023-04-30,19.5,7.9,60.0
2023-05-01,26.4,0.0,56.0
2023-05-02,24.4,0.1,65.0
2023-05-03,25.8,2.1,55.0
2023-05-04,22.4,0.0,60.0
2023-05-05,22.5,3.2,70.0
2023-05-06,23.0,0.7,62.0
2023-05-07,27.5,0.0,62.0
2023-05-08,25.8,3.2,68.0
2023-05-09,23.3,13.3,65.0
2023-05-10,23.4,2.6,61.0
2023-05-11,24.1,7.8,56.0
2023-05-12,27.5,5.8,57.0
2023-05-13,23.4,0.2,57.0
2023-05-14,22.6,0.9,55.0
2023-05-15,,3.3,58.0
2023-05-16,22.7,4.1,58.0
2023-05-17,21.0,2.3,50.0
2023-05-18,23.0,9.3,64.0
2023-05-19,19.0,5.9,57.0
2023-05-20,21.2,2.3,54.0
2023-05-21,23.1,2.9,56.0
2023-05-22,22.2,0.0,59.0
2023-05-23,20.4,3.6,47.0
2023-05-24,20.8,3.2,53.0
2023-05-25,23.2,0.0,47.0
2023-05-26,18.5,0.0,66.0
2023-05-27,18.4,0.0,53.0
2023-05-28,18.8,5.7,46.0
2023-05-29,20.5,0.0,70.0
2023-05-30,17.7,0.2,49.0
2023-05-31,22.2,0.0,50.0
2023-06-01,,0.0,50.0
2023-06-02,20.4,0.0,46.0
2023-06-03,,0.0,52.0
2023-06-04,19.5,1.1,39.0
2023-06-05,16.3,0.0,55.0
2023-06-06,21.3,3.9,44.0
2023-06-07,17.3,6.4,47.0
2023-06-08,16.9,2.4,53.0
2023-06-09,,1.1,48.0
2023-06-10,19.8,5.3,48.0
2023-06-11,20.5,0.0,43.0
2023-06-12,19.3,0.7,58.0
2023-06-13,17.3,0.0,50.0
2023-06-14,15.4,0.9,42.0
2023-06-15,17.3,4.5,48.0
2023-06-16,15.8,2.4,41.0
2023-06-17,15.7,0.4,55.0
2023-06-18,14.2,1.5,47.0
2023-06-19,17.5,0.0,41.0
2023-06-20,20.2,0.0,49.0
2023-06-21,18.0,1.2,44.0
2023-06-22,16.5,11.0,39.0
2023-06-23,16.5,7.6,47.0
2023-06-24,10.3,0.0,47.0
2023-06-25,15.4,0.0,50.0
2023-06-26,13.2,1.7,45.0
2023-06-27,16.1,0.1,45.0
2023-06-28,15.2,0.0,45.0
2023-06-29,13.8,2.0,52.0
2023-06-30,,0.0,42.0
2023-07-01,15.4,3.4,46.0
2023-07-02,18.0,0.0,46.0
2023-07-03,16.2,6.6,45.0
2023-07-04,15.1,2.2,41.0
2023-07-05,12.6,0.0,43.0
2023-07-06,12.2,8.8,42.0
2023-07-07,15.3,5.3,52.0
2023-07-08,13.6,3.1,40.0
2023-07-09,14.3,2.9,37.0
2023-07-10,15.6,0.0,42.0
2023-07-11,10.4,2.0,41.0
2023-07-12,16.1,4.9,43.0
2023-07-13,15.1,3.0,39.0
2023-07-14,8.8,3.6,42.0
2023-07-15,17.5,1.5,42.0
2023-07-16,13.2,3.7,46.0
2023-07-17,11.5,3.9,41.0
2023-07-18,13.3,0.0,41.0
2023-07-19,10.2,1.5,43.0
2023-07-20,13.0,0.5,45.0
2023-07-21,10.2,4.8,36.0
2023-07-22,15.7,0.0,34.0
2023-07-23,11.6,0.0,49.0
2023-07-24,12.6,3.4,44.0
2023-07-25,9.6,0.0,39.0
2023-07-26,12.6,1.6,40.0
2023-07-27,10.8,7.8,38.0
2023-07-28,7.8,1.5,41.0
2023-07-29,10.0,0.0,35.0
2023-07-30,14.2,0.0,44.0
